keys,en,fr,es,pt,de,it,ru,tr,pl,id,vi,uk,el
with,with,avec,con,com,mit,con,с,ile,z,dengan,với,з,με
with a friend,with a friend,avec un ami,con un amigo,com um amigo,mit einem Freund,con un amico,с другом,bir arkadaşla,ze znajomym,dengan teman,với một người bạn,з другом,με έναν φίλο
Understand your moves,Understand your moves,Comprendre tes coups,Entender tus jugadas,Entenda seus lances,Verstehe deine Züge,Capisci le tue mosse,Понимайте свои ходы,Hamlelerini anla,Zrozum swoje ruchy,Pahami langkahmu,Hiểu nước đi của bạn,Зрозумійте свої ходи,Κατάλαβε τις κινήσεις σου
Understand your mistake,Understand your mistake,Comprendre ton erreur,Entender tu error,Entenda seu erro,Verstehe deinen Fehler,Capisci il tuo errore,Поймите свою ошибку,Hatanı anla,Zrozum swój błąd,Pahami kesalahanmu,Hiểu lỗi sai của bạn,Зрозумійте свою помилку,Κατάλαβε το λάθος σου
Opponent,Opponent,Adversaire,Rival,Oponente,Gegner,Avversario,Соперник,Rakip,Przeciwnik,Lawan,Đối thủ,Суперник,Αντίπαλος
Change opponent,Change opponent,Autre adversaire,Otro rival,Trocar adversário,Gegner wechseln,Cambia avversario,Сменить соперника,Rakibi değiştir,Zmień przeciwnika,Ganti lawan,Đổi đối thủ,Змінити суперника,Αλλαγή αντιπάλου
Continue,Continue,Continuer,Continuar,Continuar,Weiter,Continua,Продолжить,Devam et,Kontynuuj,Lanjutkan,Tiếp tục,Продовжити,Συνέχεια
Retry,Retry,Réessayer,Reintentar,Tentar de novo,Nochmal,Riprova,Повторить,Tekrar dene,Spróbuj ponownie,Coba lagi,Thử lại,Ще раз,Ξανά
Back to game,Back to game,Retour au jeu,Volver al juego,Voltar ao jogo,Zurück zum Spiel,Torna alla partita,Вернуться к игре,Oyuna dön,Wróć do gry,Kembali ke permainan,Quay lại ván cờ,Назад до гри,Πίσω στο παιχνίδι
Cancel game,Cancel game,Annuler la partie,Cancelar partida,Cancelar jogo,Spiel abbrechen,Annulla partita,Отменить партию,Oyunu iptal et,Anuluj grę,Batalkan permainan,Hủy ván cờ,Скасувати гру,Ακύρωση παιχνιδιού
Cancel game?,Cancel game?,Annuler la partie ?,¿Cancelar partida?,Cancelar jogo?,Spiel abbrechen?,Annullare la partita?,Отменить партию?,Oyun iptal edilsin mi?,Anulować grę?,Batalkan permainan?,Hủy ván cờ?,Скасувати гру?,Ακύρωση παιχνιδιού;
